8;12;2025;2025-11-10;1500.0;0.0;1500.0
9;1;2025;2025-11-10;5500.0;2075.0;3425.0
10;1;2025;2025-11-10;2000.0;622.5;1377.5
11;3;2024;2025-11-11;3420.0;485.6999999999998;2934.3
12;1;2026;2025-11-11;3420.0;485.6999999999998;2934.3
13;2;2025;2025-11-11;3420.0;485.6999999999998;2934.3
14;11;2025;2025-11-11;3420.0;485.6999999999998;2934.3
15;11;2025;2025-11-11;77000.0;14023.5;62976.500000000015
16;11;2025;2025-11-11;77000.0;14023.5;62976.500000000015
17;11;2025;2025-11-11;77000.0;14023.5;62976.500000000015
18;11;2025;2025-11-11;77660.0;14023.5;63636.500000000015
19;11;2025;2025-11-11;82660.0;14273.5;68386.50000000001
